90300.01.051;Корпус ФК-140/105;Сталь 20Х ф150_1225500000;Сталь 20Х;150;929;105;3;1;310;1;3
90300.01.061;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;820;56;2;1;410;1;2
94100.00.00.072;Переводник М 73хН З-73;Сталь 38ХГМ ф100_1211103000;Сталь 38ХГМ;100;809;45;3;1;270;1;3
98300.15.07.001-01;Опора;Сталь 10Х11Н23Т3МР ф120_1515151700;Сталь 10Х11Н23Т3МР;120;1 287;68;2;1;644;1;2
90300.01.001;Корпус ФК 122/94;Сталь 20Х ф135_1209913000;Сталь 20Х;135;881;90;3;1;294;1;3
93930.016;Переводник Н-88Л/М-102;Сталь 38ХГМ ф130_1294080000;Сталь 38ХГМ;130;880;38;2;1;440;1;2
93930.017;Переводник Н-102Л/М-133;Сталь 38ХГМ ф165 ;Сталь 38ХГМ;165;1 010;70;2;1;505;1;2
90300.01.011;Корпус;Сталь 40Х ф125_1215600000;Сталь 40Х;125;820;45;2;1;410;1;2
86900.02.05.026;Переводник А17х3,175;Сталь 08Х17Н5М3 ф120_1502026500;Сталь 08Х17Н5М3;120;929;75;3;1;310;1;3
86601-Э(М2);Метчик МЭУ36 (опытный);Сталь 25ХГМ ф 85;Сталь 25ХГМ;85;980;14;3;1;327;1;3
94100.00.04.038;Переводник М З-73ЛхН В73;Сталь 38ХГМ ф 95_1211101000;Сталь 38ХГМ;95;869;50;3;1;290;1;3
86502.900.008;Корпус;Сталь 40Х ф220_1282000000;Сталь 40Х;220;718;138;2;1;359;1;2
86502.900.004;Наконечник;Сталь 40Х ф155_1221550000;Сталь 40Х;155;794;40;3;1;265;1;3
94020.00.014;Переводник Н В73х Н В73;Сталь 38ХГМ ф 90_1212121200;Сталь 38ХГМ;90;958;58;4;1;240;1;4
86604.106;Метчик МСЗ-76(З-65);Сталь 20Х ф 90_1224100000;Сталь 20Х;90;899;14;3;1;300;1;3
